*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=7X8_VUMultiplex
*Date=21:46:29
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;220;THT;31.4854;-44.7143;-1.27222e-14;Bottom;R55
2;;;136.872;-10.4219;0;Bottom;Jumper34
3;;3 mm [THT];53.6307;-65.0321;-90;Bottom;LED55
4;;;134.332;-11.6919;0;Bottom;Jumper33
5;220;THT;31.4854;-75.1943;-1.27222e-14;Bottom;R51
6;220;THT;122.844;-77.7839;-1.27222e-14;Bottom;R18
7;;3 mm [THT];53.6307;-26.9321;-90;Bottom;LED52
8;;3 mm [THT];30.7944;-49.7944;-90;Bottom;LED59
9;220;THT;122.844;-44.7639;-1.27222e-14;Bottom;R23
10;220;THT;77.1244;-37.1439;-1.27222e-14;Bottom;R40
11;;3 mm [THT];99.3507;-26.9321;-90;Bottom;LED36
12;220;THT;145.762;-67.5719;-1.27222e-14;Bottom;R14
13;220;THT;54.3217;-67.5719;-1.27222e-14;Bottom;R44
14;;3 mm [THT];76.4334;-49.844;-90;Bottom;LED43
15;;3 mm [THT];122.153;-42.224;-90;Bottom;LED26
16;220;THT;8.50262;-77.7573;-1.27222e-14;Bottom;R58
17;;3 mm [THT];30.7944;-72.6544;-90;Bottom;LED64
18;;DIP16 [THT];58.189;-17.99;90;Bottom;U8
19;220;THT;31.4854;-59.9543;-6.36109e-15;Bottom;R53
20;;3 mm [THT];53.6307;-42.1721;-90;Bottom;LED50
21;;3 mm [THT];145.071;-26.9321;-90;Bottom;LED24
22;;3 mm [THT];7.81159;-26.9575;-90;Bottom;LED68
23;220;THT;77.1244;-75.2439;-1.27222e-14;Bottom;R35
24;220;THT;54.3217;-59.9519;-6.36109e-15;Bottom;R45
25;220;THT;100.042;-77.7319;-1.27222e-14;Bottom;R26
26;;3 mm [THT];145.071;-80.2721;-90;Bottom;LED17
27;;3 mm [THT];76.4334;-26.984;-90;Bottom;LED44
28;;;42.8917;-11.6919;0;Bottom;Jumper22
29;220;THT;145.762;-59.9519;-6.36109e-15;Bottom;R13
30;220;THT;31.4854;-37.0942;-1.27222e-14;Bottom;R56
31;;3 mm [THT];99.3507;-42.1721;-90;Bottom;LED34
32;;3 mm [THT];76.4334;-80.324;-90;Bottom;LED41
33;;3 mm [THT];53.6307;-57.4121;-90;Bottom;LED54
34;;3 mm [THT];145.071;-42.1721;-90;Bottom;LED22
35;220;THT;54.3217;-77.7319;-1.27222e-14;Bottom;R42
36;;3 mm [THT];7.81159;-34.5775;-90;Bottom;LED69
37;;THT;150.842;-6.61194;-90;Bottom;J1
38;;;45.4317;-10.4219;0;Bottom;Jumper24
39;220;THT;122.844;-29.5239;-1.27222e-14;Bottom;R25
40;;3 mm [THT];145.071;-72.6521;-90;Bottom;LED18
41;;3 mm [THT];145.071;-65.0321;-90;Bottom;LED19
42;220;THT;145.762;-44.7119;-1.27222e-14;Bottom;R11
43;220;THT;100.042;-44.7119;-1.27222e-14;Bottom;R31
44;220;THT;31.4854;-77.7343;-1.27222e-14;Bottom;R50
45;;3 mm [THT];30.7944;-42.1744;-90;Bottom;LED58
46;;;21.3017;-16.7719;0;Bottom;Jumper36
47;220;THT;8.50262;-52.3573;-1.27222e-14;Bottom;R62
48;;DIP16 [THT];35.3527;-17.9923;90;Bottom;U9
49;;3 mm [THT];7.81159;-72.6775;-90;Bottom;LED72
50;220;THT;8.50262;-44.7373;-1.27222e-14;Bottom;R63
51;;;91.1517;-10.4219;0;Bottom;Jumper12
52;;3 mm [THT];53.6307;-34.5521;-90;Bottom;LED53
53;;3 mm [THT];122.153;-65.084;-90;Bottom;LED31
54;220;THT;100.042;-29.4719;-1.27222e-14;Bottom;R33
55;220;THT;77.1244;-29.5239;-1.27222e-14;Bottom;R41
56;;3 mm [THT];30.7944;-26.9343;-90;Bottom;LED60
57;220;THT;122.844;-67.6239;-1.27222e-14;Bottom;R20
58;;3 mm [THT];76.4334;-72.704;-90;Bottom;LED48
59;;DIP16 [THT];126.712;-18.0419;90;Bottom;U5
60;;3 mm [THT];30.7944;-80.2744;-90;Bottom;LED57
61;;3 mm [THT];99.3507;-34.5521;-90;Bottom;LED37
62;;;112.742;-16.7719;0;Bottom;Jumper5
63;;3 mm [THT];99.3507;-65.0321;-90;Bottom;LED39
64;;3 mm [THT];30.7944;-57.4144;-90;Bottom;LED62
65;220;THT;8.50262;-59.9773;-6.36109e-15;Bottom;R61
66;;3 mm [THT];122.153;-80.324;-90;Bottom;LED25
67;220;THT;8.50262;-29.4973;-1.27222e-14;Bottom;R65
68;220;THT;100.042;-37.0919;-1.27222e-14;Bottom;R32
69;;3 mm [THT];7.81159;-42.1975;-90;Bottom;LED66
70;220;THT;54.3217;-52.3319;-1.27222e-14;Bottom;R46
71;;3 mm [THT];53.6307;-49.7921;-90;Bottom;LED51
72;;;22.5717;-10.4219;0;Bottom;Jumper30
73;;;88.6117;-11.6919;0;Bottom;Jumper10
74;;3 mm [THT];122.153;-26.984;-90;Bottom;LED28
75;220;THT;122.844;-75.2439;-1.27222e-14;Bottom;R19
76;;3 mm [THT];7.81159;-49.8175;-90;Bottom;LED67
77;220;THT;77.1244;-67.6239;-1.27222e-14;Bottom;R36
78;;3 mm [THT];76.4334;-34.604;-90;Bottom;LED45
79;220;THT;31.4854;-29.4742;-1.27222e-14;Bottom;R57
80;;3 mm [THT];122.153;-49.844;-90;Bottom;LED27
81;;3 mm [THT];30.7944;-34.5543;-90;Bottom;LED61
82;;;111.472;-11.6919;0;Bottom;Jumper4
83;220;THT;8.50262;-37.1173;-1.27222e-14;Bottom;R64
84;220;THT;100.042;-52.3319;-1.27222e-14;Bottom;R30
85;;3 mm [THT];76.4334;-57.464;-90;Bottom;LED46
86;;3 mm [THT];145.071;-57.4121;-90;Bottom;LED20
